prompt_id,seed,tier,DR_R1,DR_R2,DR_R3,dDR_R2_minus_R1,dDR_R3_minus_R1,dDR_R3_minus_R2,realized_dino,clip_dist,pixel_gap
P17L,43,low,0.3836748898029327,0.3222509622573852,0.3169535994529724,-0.0614239275455474,-0.0667212903499603,-0.0052973628044128,0.2900258302688598,0.2556569576263428,0.6403353214263916
P17L,44,low,0.3890767395496368,0.2940005660057068,0.2904095351696014,-0.09507617354393,-0.0986672043800354,-0.0035910308361053,0.3069297075271606,0.1655341386795044,0.8118918538093567
P18H,42,high,0.6306691765785217,0.6588096618652344,0.4049520492553711,0.0281404852867126,-0.2257171273231506,-0.2538576126098633,0.9581049084663392,0.38899070024490356,0.9473702907562256
P18H,43,high,0.498278796672821,0.4496570825576782,0.4655383229255676,-0.0486217141151428,-0.0327404737472534,0.0158812403678894,0.938462734222412,0.3792625069618225,1.0506864786148071
P18H,44,high,0.634707510471344,0.6539630889892578,0.1058254390954971,0.0192555785179138,-0.5288820713758469,-0.5481376498937607,0.9677277207374572,0.44784635305404663,1.0280647277832031
P19H,42,high,0.6490057110786438,0.8476563692092896,0.1341545283794403,0.1986506581306457,-0.5148511826992035,-0.7135018408298492,0.9637221693992616,0.5113089084625244,0.6614232063293457
P19H,43,high,0.7240613102912903,0.6176642179489136,0.1530162841081619,-0.1063970923423767,-0.5710450261831284,-0.4646479338407516,0.979777455329895,0.5225080847740173,0.6658166646957397
P19H,44,high,0.7135919332504272,0.6996287107467651,0.5003798007965088,-0.0139632225036621,-0.2132121324539184,-0.1992489099502563,0.9636756777763368,0.48391759395599365,0.7019528150558472
P19L,42,low,0.2652509212493896,0.2397515624761581,0.1790772229433059,-0.0254993587732315,-0.0861736983060836,-0.0606743395328521,0.8050398826599121,0.40207135677337646,0.7282463908195496
P19L,43,low,0.2699269354343414,0.317904531955719,0.2979235053062439,0.0479775965213775,0.0279965698719024,-0.019981026649475,0.6310333609580994,0.3349423408508301,0.7380673885345459
P19L,44,low,0.3043816387653351,0.32326740026474,0.317879855632782,0.0188857614994049,0.0134982168674469,-0.005387544631958,0.8303700685501099,0.40541166067123413,0.7486059665679932
P20H,42,high,0.1973133385181427,0.1228091940283775,0.1019185706973075,-0.0745041444897651,-0.0953947678208351,-0.0208906233310699,1.0140897035598757,0.5486209392547607,1.576559066772461
P20H,43,high,0.4279608428478241,0.3949477970600128,0.2592377364635467,-0.0330130457878112,-0.1687231063842773,-0.135710060596466,1.029374599456787,0.5345819592475891,1.6008572578430176
P20H,44,high,0.1694928109645843,0.1779964566230774,0.1842817366123199,0.008503645658493,0.0147889256477355,0.0062852799892425,1.0341235399246216,0.5652387142181396,1.6135187149047852
P21H,42,high,0.0746936351060867,0.0758451372385025,0.076084017753601,0.0011515021324157,0.0013903826475143,0.0002388805150985,1.0002923011779783,0.6272400617599487,1.1314127445220947
P21H,43,high,0.0135028138756752,0.0089450702071189,0.0099344439804553,-0.0045577436685562,-0.0035683698952198,0.0009893737733364,1.003332257270813,0.6287878751754761,1.1034016609191897
P21H,44,high,0.1429557055234909,0.1417124569416046,0.1165403425693512,-0.0012432485818862,-0.0264153629541397,-0.0251721143722534,1.0289900302886963,0.6322095394134521,1.138692855834961
P22H,42,high,0.4245811104774475,0.4687168896198272,0.457047700881958,0.0441357791423797,0.0324665904045105,-0.0116691887378692,0.9482151865959167,0.6033592820167542,0.8907825946807861
P22H,43,high,0.3233966529369354,0.2870159745216369,0.2910194993019104,-0.0363806784152984,-0.032377153635025,0.0040035247802734,1.00128173828125,0.5269863605499268,0.9471622109413148
P22H,44,high,0.2801524400711059,0.2707723379135132,0.2675623297691345,-0.0093801021575927,-0.0125901103019714,-0.0032100081443786,1.0291283130645752,0.516017735004425,1.017709255218506
P23H,42,high,0.2616536021232605,0.2503550946712494,0.0712479278445243,-0.0112985074520111,-0.1904056742787361,-0.179107166826725,1.011264085769653,0.38337433338165283,0.924743354320526
P23H,43,high,0.3158778548240661,0.3319025337696075,0.07792379707098,0.0160246789455413,-0.2379540577530861,-0.2539787366986274,1.025318622589111,0.45993661880493164,1.0633901357650757
P23H,44,high,0.3577645123004913,0.3225711584091186,0.0767411142587661,-0.0351933538913726,-0.2810233980417251,-0.2458300441503524,1.007401466369629,0.4259698987007141,1.0887621641159058
P23L,42,low,0.2040704190731048,0.1557104885578155,0.1520636230707168,-0.0483599305152893,-0.052006796002388,-0.0036468654870986,0.2240952253341674,0.14991307258605957,1.2834216356277466
P23L,43,low,0.2038029432296753,0.1769062429666519,0.1705261766910553,-0.0268967002630233,-0.0332767665386199,-0.0063800662755966,0.1205244064331054,0.1138986349105835,1.2022327184677124
P23L,44,low,0.1674662381410598,0.1435257047414779,0.1435017585754394,-0.0239405333995819,-0.0239644795656204,-2.3946166038513184e-05,0.1425179839134216,0.11080348491668701,1.1641076803207395
P24H,42,high,0.5826928615570068,0.5179364681243896,0.2345283925533294,-0.0647563934326171,-0.3481644690036773,-0.2834080755710602,0.967316508293152,0.6291310787200928,0.9251785278320312
P24H,43,high,0.3231741786003113,0.3186278939247131,0.2961076498031616,-0.0045462846755981,-0.0270665287971496,-0.0225202441215515,0.975692868232727,0.6207418441772461,0.9537668824195862
P24H,44,high,0.5693420767784119,0.276360273361206,0.207754909992218,-0.2929818034172058,-0.3615871667861938,-0.068605363368988,0.9585490226745604,0.6247490644454956,0.9229518175125122
P25H,42,high,0.4809509813785553,0.2825421094894409,0.2593198418617248,-0.1984088718891143,-0.2216311395168304,-0.023222267627716,0.9838753938674928,0.5576696991920471,0.5502440333366394
P25H,43,high,0.3610032796859741,0.3756104707717895,0.3325842618942261,0.0146071910858154,-0.028419017791748,-0.0430262088775634,1.003044605255127,0.5614707469940186,0.5147795081138611
P25H,44,high,0.3183240890502929,0.3208518326282501,0.2557911276817322,0.0025277435779571,-0.0625329613685607,-0.0650607049465179,1.010129690170288,0.517387866973877,0.5685437321662903
P26H,42,high,0.3747615218162536,0.2475581914186477,0.1617639362812042,-0.1272033303976059,-0.2129975855350494,-0.0857942551374435,1.026954174041748,0.6211886405944824,0.8664407730102539
P26H,43,high,0.4460445642471313,0.4573041200637817,0.2091846019029617,0.0112595558166503,-0.2368599623441696,-0.24811951816082,0.9732735753059388,0.6436824202537537,0.8539745807647705
P26H,44,high,0.748400092124939,0.2930651307106018,0.0690951347351074,-0.4553349614143371,-0.6793049573898315,-0.2239699959754943,1.0168626308441162,0.5989166498184204,0.8911552429199219
