group,endpoint,seed,abrupt,cls,gap,transit_frames,jump3,jump1,fracA,fracB,fracElse
both/neutral,flame_transition_2,43,True,REAL,65.49637603759766,0,0.871091365814209,0.855385422706604,0.36538461538461536,0.1346153846153846,0.5
both/neutral,flame_transition_3,42,True,REAL,74.57957458496094,0,0.9639438390731812,0.9495555758476257,0.23076923076923078,0.25961538461538464,0.5096153846153846
both/neutral,flame_transition_3,43,False,REAL,74.57604217529297,4,0.6758559942245483,0.4493488669395447,0.17307692307692307,0.1346153846153846,0.6923076923076923
both/effect,air_bending_1,42,False,REAL,67.6119384765625,46,0.25830039381980896,0.19026200473308563,0.07692307692307693,0.28846153846153844,0.6346153846153847
both/effect,air_bending_1,43,False,REAL,67.52909088134766,34,0.2316163331270218,0.11529415845870972,0.17307692307692307,0.125,0.7019230769230769
both/effect,air_bending_1,42,False,REAL,67.66566467285156,7,0.6233513355255127,0.23484736680984497,0.038461538461538464,0.41346153846153844,0.5480769230769231
both/effect,air_bending_1,43,False,REAL,67.55419921875,17,0.3925771713256836,0.23377323150634766,0.019230769230769232,0.33653846153846156,0.6442307692307692
both/effect,display_transition_1,42,True,REAL,44.60299301147461,7,0.3199412226676941,0.11250361800193787,0.057692307692307696,0.08653846153846154,0.8557692307692307
both/effect,display_transition_1,43,False,REAL,44.4271240234375,7,0.36179178953170776,0.13528937101364136,0.0673076923076923,0.14423076923076922,0.7884615384615385
both/effect,firelava_4,42,False,REAL,96.6624755859375,47,0.21422499418258667,0.10799705982208252,0.028846153846153848,0.1346153846153846,0.8365384615384616
