group,cls,clip_id,gini,offline,DR
S-GRID-F:NULLGEN,hvpair.humanvid_4325522.humanvid_7776745,gridF_v3__hvpair.humanvid_4325522.humanvid_7776745__s43,0.7981891699972814,0.28258936400627116,0.2443210480790784
S-GRID-F:NULLGEN,davis_blackswan_rhino,gridF_v3__davis_blackswan_rhino__s42,0.8395588010621584,0.24345294434129824,0.2338175475347265
S-GRID-F:NULLGEN,davis_blackswan_rhino,gridF_v3__davis_blackswan_rhino__s43,0.8237429574979283,0.22280802051853887,0.22875729829902958
S-GRID-F:NULLGEN,hvpair.humanvid_4457812.humanvid_7864986,gridF_v3__hvpair.humanvid_4457812.humanvid_7864986__s42,0.799121877058582,0.2566149068416348,0.20382375979172018
S-GRID-F:NULLGEN,hvpair.humanvid_4457812.humanvid_7864986,gridF_v3__hvpair.humanvid_4457812.humanvid_7864986__s43,0.8011787252554239,0.3287673255598129,0.3534569702838447
S-GRID-F:NULLGEN,hvpair.humanvid_4650062.humanvid_7884019,gridF_v3__hvpair.humanvid_4650062.humanvid_7884019__s42,0.8225740909699246,0.2558826775861657,0.16127645588375106
S-GRID-F:NULLGEN,hvpair.humanvid_4650062.humanvid_7884019,gridF_v3__hvpair.humanvid_4650062.humanvid_7884019__s43,0.7549072759680464,0.3720831138855142,0.41242584609790683
S-GRID-F:NULLGEN,hvpair.humanvid_4734626.humanvid_7957231,gridF_v3__hvpair.humanvid_4734626.humanvid_7957231__s42,0.8592930534889605,0.5577337893119524,0.6554663708366306
S-GRID-F:NULLGEN,hvpair.humanvid_4734626.humanvid_7957231,gridF_v3__hvpair.humanvid_4734626.humanvid_7957231__s43,0.6853356417577008,0.39061409618848764,0.4122203662698981
S-GRID-F:NULLGEN,hvpair.humanvid_4873451.humanvid_7969628,gridF_v3__hvpair.humanvid_4873451.humanvid_7969628__s42,0.7835419862606376,0.3625480242975182,0.3293752379093453
S-GRID-F:NULLGEN,hvpair.humanvid_4873451.humanvid_7969628,gridF_v3__hvpair.humanvid_4873451.humanvid_7969628__s43,0.6595393827403979,0.3893116613324586,0.40829545857010263
S-GRID-F:NULLGEN,hvpair.humanvid_5124224.humanvid_7970355,gridF_v3__hvpair.humanvid_5124224.humanvid_7970355__s42,0.8469410074217498,0.2260850250106779,0.2261369422535702
S-GRID-F:NULLGEN,hvpair.humanvid_5124224.humanvid_7970355,gridF_v3__hvpair.humanvid_5124224.humanvid_7970355__s43,0.8257933350011186,0.23718246884896976,0.1590584763765804
S-PROBE:R3:high,wireframe_7,probe_r3__P01H__s42,0.7658690215816528,0.2185539934434138,0.17384241852584656
S-PROBE:R3:high,wireframe_7,probe_r3__P01H__s43,0.8459123546268961,0.2484399507283545,0.21682987534546433
S-PROBE:R3:high,wireframe_7,probe_r3__P01H__s44,0.7199786263954684,0.2777709712785085,0.24543952906661348
S-PROBE:R3:high,super_fast_run_10,probe_r3__P02H__s42,0.8700357179967637,0.2227536786388786,0.23277778657397363
S-PROBE:R3:high,super_fast_run_10,probe_r3__P02H__s43,0.8929435458468544,0.21332482903485642,0.21945169371054374
S-PROBE:R3:high,super_fast_run_10,probe_r3__P02H__s44,0.8411114392717676,0.2746973930712363,0.22457913825066503
S-PROBE:R3:high,portal_1,probe_r3__P03H__s42,0.7535318209219921,0.2818992854145286,0.3007180569394001
S-PROBE:R3:high,portal_1,probe_r3__P03H__s43,0.7194995951132039,0.21537813176083706,0.16003647799045867
S-PROBE:R3:high,portal_1,probe_r3__P03H__s44,0.7475164485185515,0.24296081845939071,0.15470886245168658
S-PROBE:R3:high,portal_10,probe_r3__P04H__s42,0.6029807266449476,0.5652779158005938,0.5270419036953911
S-PROBE:R3:high,portal_10,probe_r3__P04H__s43,0.564709456880115,0.47082402504318677,0.5421977039959583
S-PROBE:R3:high,portal_10,probe_r3__P04H__s44,0.6474109115283186,0.525559120274896,0.6774388976208454
S-PROBE:R3:high,explosion_1,probe_r3__P05H__s42,0.7953060873554594,0.2356010902964455,0.21371999779234574
