group,cls,clip_id,gini,offline,DR,d_frames,fit_rmse,lerp_rmse,gap_rel
S-PROBE:R1:high,luminous_gaze_3,probe__P25H__luminous_gaze_3__s44,0.7205745720404471,0.5015714722474688,0.3183241344090635,64.0,0.1061889466466104,0.1806752339863149,0.5660540495195867
S-PROBE:R1:high,saint_glow_3,probe__P26H__saint_glow_3__s42,0.6247725377792206,0.4507638589889566,0.3747617021566454,24.0,0.0430293426520566,0.2425414043818296,0.8600965281399674
S-PROBE:R1:high,saint_glow_3,probe__P26H__saint_glow_3__s43,0.6236526053099856,0.4993036190699985,0.4460444679755877,24.0,0.057327437368186,0.2264975694503198,0.8412488685679087
S-PROBE:R1:high,saint_glow_3,probe__P26H__saint_glow_3__s44,0.6716982927973301,0.6241651602325399,0.7484007047423044,16.0,0.0532297410774861,0.3080663043408115,0.880320454499655
S-PROBE:R1:high,live_concert_4,probe__P27H__live_concert_4__s42,0.6198187572888427,0.3138499799468474,0.4179341217229437,64.0,0.0456442572528315,0.1584354731299677,1.2640508203783394
S-PROBE:R1:high,live_concert_4,probe__P27H__live_concert_4__s43,0.5297571947058983,0.2644224385732141,0.318185684191938,64.0,0.048958628829531,0.184760362711639,1.2561523433694763
S-PROBE:R1:high,live_concert_4,probe__P27H__live_concert_4__s44,0.7979209396068507,0.5762623593423819,0.4429913849943552,16.0,0.0824197941699078,0.3159952193955996,1.2220585877746442
S-PROBE:R1:high,animalization_0,probe__P28H__animalization_0__s42,0.5873263342476105,0.3335927519611391,0.3240489785439281,64.0,0.0389244159748463,0.2060199559948207,0.9105263086407388
S-PROBE:R1:high,animalization_0,probe__P28H__animalization_0__s43,0.7268576326467575,0.3159658274699132,0.2310633235537803,32.0,0.0421801334274178,0.3021420902789756,0.9330138749111008
S-PROBE:R1:high,animalization_0,probe__P28H__animalization_0__s44,0.7251546808142499,0.3527432393000543,0.2152129359680166,32.0,0.0439113517191383,0.2749943519061923,0.9716756761572408
S-PROBE:R1:high,shadow_3,probe__P29H__shadow_3__s42,0.6182668375776201,0.4328015660137921,0.5419953398138135,80.0,0.0736102672951671,0.1516129630200632,1.082056714184643
