space,group,key,s0,d_frames,rmse_fit,rmse_lerp,rmse_cut,rho_mean,rho_at_cross,nu_mean
DINO,S-GRID:NULLGEN,null_v3__flame_transition_3__s42,0.21,5.0,0.0597157060664765,0.3279096232737462,0.0736012799131057,0.2617923294899449,0.3786592142366247,0.2659914265553788
DINO,S-GRID:NULLGEN,null_v3__flame_transition_3__s43,0.17,5.0,0.0533141550651312,0.3597923480628412,0.0618012609079348,0.2874927667982046,0.4666214331538872,0.2944945139750768
DINO,S-GRID:NULLGEN,null_v3__giant_grab_5__s42,0.03,64.0,0.0529027515170484,0.1870212922150576,0.2242108546185602,0.3740063222192084,0.6304275191474334,0.4180698365899607
DINO,S-GRID:NULLGEN,null_v3__giant_grab_5__s43,0.2,80.0,0.0886731119499443,0.1278358278064299,0.241841648095089,0.4176521845765304,0.7234492413441217,0.4667987484227721
DINO,S-GRID:NULLGEN,null_v3__shadow_smoke_7__s42,0.065,8.0,0.0413614484369397,0.4428652649988951,0.0679360259592522,0.2713375777936509,0.6582736223864338,0.2760826326667001
DINO,S-GRID:NULLGEN,null_v3__shadow_smoke_7__s43,0.05,32.0,0.0803073324914824,0.3544547421967294,0.1411338193752935,0.2631198918606933,0.7786182898720674,0.2783877659917719
DINO,S-GRID:NULLGEN,null_v3__giant_grab_3__s42,0.0,80.0,0.1159615767377621,0.1546515063766484,0.3007882096700262,0.6889525085256782,0.8286177277211246,0.7466977242083898
DINO,S-GRID:NULLGEN,null_v3__giant_grab_3__s43,0.47,16.0,0.0809055136200402,0.2022274416799965,0.109259689644833,0.4671995599463753,0.4358907385619454,0.4814753108863173
DINO,S-GRID:NULLGEN,null_v3__flying_cam_transition_4__s42,0.375,12.0,0.0520769065839994,0.2202361195113926,0.0931208677365107,0.2696092342634232,0.503483689632226,0.2804439647153108
DINO,S-GRID:NULLGEN,null_v3__flying_cam_transition_4__s43,0.48,16.0,0.0350717396376268,0.2195366552803367,0.0961243489307733,0.2504359152268252,0.5286870399278906,0.263762356254472
DINO,S-GRID-F:NULLGEN,gridF_v3__davis_bear_elephant__s42,0.5650000000000001,16.0,0.0800507069437429,0.2177151764811651,0.1257025574447157,0.3984643172229257,0.7617251616918712,0.4123230953962685
DINO,S-GRID-F:NULLGEN,gridF_v3__davis_bear_elephant__s43,0.215,16.0,0.0568131819006926,0.2832396325868744,0.1022787850000342,0.3867886256985638,0.6411697371030404,0.3981409542915916
DINO,S-GRID-F:NULLGEN,gridF_v3__davis_tennis_snowboard__s42,0.095,64.0,0.1009983153432644,0.1513321315516744,0.1692072230533828,0.4814623509762402,0.7519553820725089,0.5101653526495141
DINO,S-GRID-F:NULLGEN,gridF_v3__davis_tennis_snowboard__s43,0.01,64.0,0.1148641118744373,0.2052157671734377,0.170259730020167,0.4829941943158498,0.7305334475851916,0.5118667982821369
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_10042758.humanvid_7537430__s42,0.365,0.5,0.013451827572349,0.3021936250405895,0.013451827572349,0.1406934668689707,0.2262087599244958,0.1412176928798839
DINO,S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_10042758.humanvid_7537430__s43,0.25,12.0,0.0217208858974186,0.3107806077306352,0.0772166390319577,0.1752021150388545,0.7854895017676026,0.1814143960322337
